Date_wise,Flight_No,Airlines_Name,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_estimated,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_estimated,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
04-07-2022,AA 7139,Air France,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,02:25 IST,02:17 IST,3,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,05:15 IST,04:55 IST,1,Arrived,On time,,2h 38m,1062 mi,,
04-07-2022,AF 3092,Air India,GOI,Goa,Dabolim Airport,04-07-2022,04:25 IST,04:56 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,05:40 IST,05:50 IST,,Arrived,On time,,54m,300 mi,32N,Airbus A320neo
04-07-2022,AI 994,IndiGo,SIN,Singapore,Changi International Airport,04-07-2022,04:20 +08,05:36 +08,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,06:15 IST,07:28 IST,1,Arrived,Delayed,1h 13m,4h 22m,1975 mi,32A,Airbus A320 (sharklets)
04-07-2022,6E 58,Lufthansa,CTU,Chengdu,Chengdu Shuangliu International Airport,04-07-2022,04:00 CST,04:14 CST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,06:20 IST,06:36 IST,,Arrived,Delayed,16m,4h 52m,2058 mi,77X,Boeing 777-200F Freighter
04-07-2022,LH 8411,IndiGo,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,03:50 IST,03:42 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,06:40 IST,06:14 IST,1,Arrived,On time,,2h 32m,1062 mi,,
04-07-2022,6E 2048,American Airlines,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,03:50 IST,03:42 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,06:40 IST,06:14 IST,1,Arrived,On time,,2h 32m,1062 mi,32Q,Airbus A321neo
04-07-2022,AA 7140,IndiGo,COK,Kochi,Cochin International Airport,04-07-2022,05:45 IST,05:41 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,06:45 IST,06:36 IST,1,Arrived,On time,,55m,229 mi,32N,Airbus A320neo
04-07-2022,SG 563,SpiceJet,HYD,Hyderabad,Rajiv Gandhi International Airport,04-07-2022,05:20 IST,,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,06:45 IST,,,Unknown,blank,,,,320,Airbus A320
04-07-2022,6E 702,IndiGo,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,04-07-2022,04:30 IST,04:17 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,06:55 IST,06:47 IST,1,Arrived,On time,,2h 30m,960 mi,32N,Airbus A320neo
04-07-2022,6E 6422,Ethiopian Airlines,ADD,Addis Ababa,Addis Ababa Bole International Airport,03-07-2022,23:00 EAT,23:05 EAT,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:10 IST,07:39 IST,,Arrived,Delayed,29m,6h 4m,2652 mi,788,Boeing 787-8
04-07-2022,6E 6438,AirAsia India,PNQ,Pune,Pune Airport,04-07-2022,05:40 IST,05:32 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:10 IST,07:05 IST,,Arrived,On time,,1h 33m,449 mi,32A,Airbus A320 (sharklets)
04-07-2022,ET 690,IndiGo,JAI,Jaipur,Jaipur Airport,04-07-2022,05:15 IST,05:11 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:35 IST,07:34 IST,1,Arrived,On time,,2h 23m,949 mi,32N,Airbus A320neo
04-07-2022,I5 387,Oman Air,MCT,Muscat,Muscat International Airport,04-07-2022,02:30 +04,02:30 +04,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:40 IST,07:32 IST,,Arrived,On time,,3h 32m,1460 mi,7M8,Boeing 737MAX 8 Passenger
04-07-2022,6E 839,IndiGo,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,06:05 IST,05:51 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:40 IST,07:30 IST,1,Arrived,On time,,1h 39m,518 mi,,
04-07-2022,WY 281,KLM,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,06:05 IST,05:51 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:40 IST,07:30 IST,1,Arrived,On time,,1h 39m,518 mi,32Q,Airbus A321neo
04-07-2022,6E 5267,Vistara,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,06:00 IST,05:48 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:50 IST,07:22 IST,,Arrived,On time,,1h 34m,518 mi,,
04-07-2022,KL 3674,Singapore Airlines,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,06:00 IST,05:48 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:50 IST,07:22 IST,,Arrived,On time,,1h 34m,518 mi,32N,Airbus A320neo
04-07-2022,UK 845,Air India,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,06:10 IST,06:15 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,07:50 IST,07:36 IST,,Arrived,On time,,1h 21m,518 mi,320,Airbus A320
04-07-2022,SQ 4865,IndiGo,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,04-07-2022,05:40 IST,05:35 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:05 IST,07:58 IST,1,Arrived,On time,,2h 23m,960 mi,32N,Airbus A320neo
04-07-2022,AI 603,IndiGo,IDR,Indore,Devi Ahilya Bai Holkar Airport,04-07-2022,06:10 IST,06:05 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:05 IST,07:56 IST,1,Arrived,On time,,1h 51m,670 mi,32N,Airbus A320neo
04-07-2022,SG 3025,AirAsia India,COK,Kochi,Cochin International Airport,04-07-2022,07:05 IST,07:03 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:10 IST,08:00 IST,,Arrived,On time,,57m,229 mi,320,Airbus A320
04-07-2022,6E 771,IndiGo,HYD,Hyderabad,Rajiv Gandhi International Airport,04-07-2022,07:00 IST,06:58 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:15 IST,08:04 IST,1,Arrived,On time,,1h 6m,283 mi,32N,Airbus A320neo
04-07-2022,6E 701,Go First,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,06:45 IST,06:42 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:20 IST,08:32 IST,,Arrived,On time,,1h 50m,518 mi,,
